PATA4,21/12/2018 08:17:38
PATA40,09/01/2013 15:07:32
PATA41,21/05/2015 05:52:17
PATA42,01/04/2018 20:12:52
PATA43,30/12/2014 18:24:50
PATA435,16/01/2019 15:18:12
PATA44,10/04/2014 14:50:32
PATA45,29/04/2013 15:07:58
PATA46,07/05/2013 12:21:02
PATA47,08/02/2015 21:03:25
PATA48,29/04/2013 15:22:20
PATA49,24/07/2017 16:32:02
PATA5,10/01/2019 09:18:32
PATA50,16/02/2016 14:56:06
PATA51,28/07/2015 15:36:41
PATA52,10/04/2014 14:50:32
PATA53,23/03/2018 17:30:18
PATA54,01/01/0001 00:00:00
PATA55,08/02/2015 21:21:14
PATA56,22/06/2018 12:08:08
PATA57,06/07/2016 11:59:12
PATA58,10/04/2014 14:50:32
PATA59,11/01/2014 09:17:27
PATA6,09/01/2019 14:20:10
PATA60,11/01/2014 10:44:46
PATA61,12/08/2014 16:07:31
PATA62,01/01/0001 00:00:00
PATA63,19/03/2014 08:18:19
PATA64,25/04/2014 07:09:15
PATA65,20/02/2018 09:42:59
PATA66,18/05/2018 09:02:34
PATA67,06/04/2018 10:04:26
PATA68,18/05/2018 09:02:48
PATA69,30/11/2015 14:08:18
PATA7,08/01/2019 17:09:09
PATA70,30/11/2015 14:04:12
PATA71,05/07/2014 22:19:17
PATA72,22/12/2014 15:23:43
PATA73,10/04/2014 14:50:32
PATA74,09/11/2015 19:08:54
PATA75,14/02/2017 15:36:42
PATA76,11/10/2016 09:47:33
PATA77,04/04/2018 15:56:15
PATA78,19/06/2014 09:53:27
PATA79,19/06/2014 10:15:37
PATA8,15/01/2019 23:38:33
PATA80,03/07/2014 11:28:23
PATA81,14/07/2014 11:12:55
PATA82,22/06/2018 10:23:46
PATA83,01/01/0001 00:00:00
PATA84,29/08/2018 10:33:49
PATA85,02/03/2018 08:07:04
PATA86,01/08/2014 15:12:19
PATA87,14/06/2016 18:01:52
PATA88,30/08/2014 08:17:26
PATA89,29/06/2018 15:38:51
PATA9,15/01/2019 23:43:21
PATA90,24/03/2016 12:08:39
PATA91,11/06/2017 21:23:15
PATA92,25/03/2015 14:01:51
PATA93,31/08/2017 14:50:04
PATA94,12/06/2018 13:22:00
PATA95,22/06/2018 08:55:56
PATA96,15/06/2018 15:39:04
PATA96_V14,09/06/2018 11:27:17
PATA97,30/11/2015 14:12:16
PATA98,19/06/2018 17:31:10
PATA99,07/03/2015 10:12:01
