1
MULINO VECCHIO.
OMRON C200HS.
ESA DOS VT240 PAGLIARI P15OK.
05/09/2010 9.20.10.
2
PLC BILANCIA.
OMRON CQM1.
.
05/09/2010 9.21.38.
3
MULINO NUOVO.
OMRON C200 HS.
.
05/09/2010 9.26.18.
